S_REF;CEP_a;EGES_a;CEP_b;EGES_b;CEP_c;EGES_c;CEP_d;EGES_d;CEP_e;EGES_e;CEP_f;EGES_f
8;146;11;186;16;386;44;505;68;622;90;739;122
9;134;11;174;16;355;42;464;65;574;87;685;118
10;124;10;164;15;329;40;428;62;533;84;640;115
11;117;10;157;15;311;39;403;61;503;82;607;113
12;112;9;152;14;296;38;381;59;478;81;578;111
13;108;9;148;14;283;37;363;58;456;79;554;110
14;104;9;144;14;273;37;348;58;437;78;532;108
15;100;8;140;13;263;36;333;56;421;76;514;107
16;97;8;137;13;255;35;325;55;412;76;504;106
17;95;8;135;13;248;35;318;55;404;75;496;105
18;92;8;132;13;241;34;311;54;397;75;489;105
19;90;8;130;13;235;34;305;54;390;74;482;105
20;88;8;128;13;230;34;300;54;385;74;476;104
21;87;8;127;13;225;33;295;53;380;74;471;104
22;85;7;125;12;221;33;291;53;375;73;466;103
23;84;7;124;12;217;33;287;53;371;73;462;103
24;82;7;122;12;214;33;284;53;367;73;458;103
25;81;7;121;12;210;32;280;52;363;73;454;103
26;80;7;120;12;207;32;277;52;360;72;451;103
27;79;7;119;12;204;32;274;52;357;72;447;102
28;78;7;118;12;202;32;272;52;354;72;444;102
29;77;7;117;12;199;32;269;52;351;72;442;102
30;76;7;116;12;197;32;267;52;349;72;439;102
31;76;7;116;12;195;31;265;51;346;72;437;102
32;75;7;115;12;193;31;263;51;344;71;434;101
33;74;7;114;12;191;31;261;51;342;71;432;101
34;74;7;114;12;189;31;259;51;340;71;430;101
35;73;7;113;12;188;31;258;51;338;71;428;101
36;72;7;112;12;186;31;256;51;337;71;427;101
37;72;7;112;12;185;31;255;51;335;71;425;101
38;71;7;111;12;183;31;253;51;333;71;423;101
39;71;7;111;12;182;31;252;51;332;71;422;101
40;70;6;110;11;180;30;250;50;330;70;420;100